Id,Sales
1,6596.41162109375
2,7953.56005859375
3,7659.73291015625
4,14792.1025390625
5,6251.43603515625
6,9358.1142578125
7,12941.8515625
8,6545.4443359375
9,9992.61328125
10,7503.21142578125
11,9748.0771484375
12,10256.099609375
13,7235.61962890625
14,6860.5966796875
15,8528.3271484375
16,10545.3134765625
17,6815.75537109375
18,10608.0185546875
19,8895.466796875
20,8448.1044921875
21,8017.3017578125
22,5888.2919921875
23,8118.2509765625
24,10651.8876953125
25,11789.041015625
26,7827.8017578125
27,10415.9072265625
28,5393.24609375
29,10280.8291015625
30,6798.640625
31,8764.125
32,6942.8759765625
33,10675.513671875
34,9524.5927734375
35,10263.046875
36,9403.8525390625
37,8338.4638671875
38,6576.27099609375
39,6599.06689453125
40,5120.29931640625
41,9080.646484375
42,10663.5771484375
43,8003.732421875
44,6391.41845703125
45,8795.5859375
46,6077.005859375
47,12827.65234375
48,5456.99853515625
49,9749.732421875
50,6707.0703125
51,9634.9658203125
52,8549.4365234375
53,6748.337890625
54,8908.3134765625
55,5301.7109375
56,8369.1640625
57,10264.3984375
58,6664.67578125
59,7575.77001953125
60,10953.7763671875
61,9201.3525390625
62,7900.099609375
63,9664.8603515625
64,11667.986328125
65,7717.71826171875
66,6850.57861328125
67,10035.765625
68,11248.7607421875
69,10518.3037109375
70,7548.0302734375
71,9872.87890625
72,7443.9755859375
73,6807.98486328125
74,7342.22998046875
75,8548.0830078125
76,10417.34765625
77,7966.595703125
78,6241.724609375
79,5743.341796875
80,9303.0810546875
81,7316.078125
82,11431.466796875
83,4510.6201171875
84,10731.3955078125
85,8502.4912109375
86,5963.48388671875
87,5707.2607421875
88,6155.763671875
89,6689.009765625
90,9997.2177734375
91,6468.978515625
92,8690.0107421875
93,8413.2705078125
94,8107.09326171875
95,7423.958984375
96,6069.4169921875
97,8439.591796875
98,7638.400390625
99,7532.984375
100,8886.7412109375
101,10927.3974609375
102,9009.6630859375
103,7308.9990234375
104,13129.6083984375
105,7528.8544921875
106,8064.16796875
107,8977.5478515625
108,14195.7744140625
109,9893.9755859375
110,6023.3486328125
111,8887.732421875
112,7514.53466796875
113,6838.55322265625
114,5909.9716796875
115,8581.625
116,6780.84375
117,6453.103515625
118,9508.064453125
119,7889.68505859375
120,7474.60400390625
121,7159.6708984375
122,8917.970703125
123,8489.25
124,7505.287109375
125,12406.150390625
126,7452.8701171875
127,7042.5732421875
128,9492.8505859375
129,9807.4541015625
130,6638.08056640625
131,5325.30419921875
132,9103.2890625
133,6650.578125
134,6242.45068359375
135,8355.0390625
